country,year,bacterium,antibiotic,n_isolates,pct_resistant,resistance_level
Austria,2013,Acinetobacter spp.,Aminoglycosides,51.0,9.8,Low
Austria,2014,Acinetobacter spp.,Aminoglycosides,79.0,8.860759999999999,Low
Bulgaria,2012,Acinetobacter spp.,Aminoglycosides,65.0,58.5,High
Bulgaria,2013,Acinetobacter spp.,Aminoglycosides,91.0,58.2,High
Bulgaria,2014,Acinetobacter spp.,Aminoglycosides,99.0,63.63636,High
Croatia,2013,Acinetobacter spp.,Aminoglycosides,114.0,92.1,High
Croatia,2014,Acinetobacter spp.,Aminoglycosides,167.0,88.02395,High
Cyprus,2012,Acinetobacter spp.,Aminoglycosides,23.0,52.2,High
Cyprus,2013,Acinetobacter spp.,Aminoglycosides,33.0,60.6,High
Cyprus,2014,Acinetobacter spp.,Aminoglycosides,57.0,73.68421000000001,High
Czech Republic,2013,Acinetobacter spp.,Aminoglycosides,91.0,16.5,Medium
Czech Republic,2014,Acinetobacter spp.,Aminoglycosides,59.0,10.16949,Medium
Denmark,2012,Acinetobacter spp.,Aminoglycosides,77.0,10.4,Medium
Denmark,2013,Acinetobacter spp.,Aminoglycosides,75.0,1.3,Low
Denmark,2014,Acinetobacter spp.,Aminoglycosides,60.0,1.66667,Low
Finland,2013,Acinetobacter spp.,Aminoglycosides,36.0,0.0,Low
Finland,2014,Acinetobacter spp.,Aminoglycosides,31.0,3.22581,Low
France,2012,Acinetobacter spp.,Aminoglycosides,278.0,12.9,Medium
France,2013,Acinetobacter spp.,Aminoglycosides,409.0,11.5,Medium
France,2014,Acinetobacter spp.,Aminoglycosides,409.0,8.55746,Low
Germany,2012,Acinetobacter spp.,Aminoglycosides,119.0,5.9,Low
Germany,2013,Acinetobacter spp.,Aminoglycosides,173.0,6.4,Low
Germany,2014,Acinetobacter spp.,Aminoglycosides,197.0,4.06091,Low
Greece,2012,Acinetobacter spp.,Aminoglycosides,1234.0,78.1,High
Greece,2013,Acinetobacter spp.,Aminoglycosides,814.0,88.5,High
Greece,2014,Acinetobacter spp.,Aminoglycosides,801.0,88.6392,High
Hungary,2012,Acinetobacter spp.,Aminoglycosides,407.0,68.8,High
Hungary,2013,Acinetobacter spp.,Aminoglycosides,475.0,69.5,High
Hungary,2014,Acinetobacter spp.,Aminoglycosides,444.0,63.51351,High
Ireland,2013,Acinetobacter spp.,Aminoglycosides,88.0,1.1,Low
Ireland,2014,Acinetobacter spp.,Aminoglycosides,89.0,2.24719,Low
Italy,2013,Acinetobacter spp.,Aminoglycosides,468.0,82.9,High
Italy,2014,Acinetobacter spp.,Aminoglycosides,449.0,89.08686,High
Latvia,2014,Acinetobacter spp.,Aminoglycosides,52.0,75.0,High
Lithuania,2014,Acinetobacter spp.,Aminoglycosides,66.0,86.36364,High
Malta,2014,Acinetobacter spp.,Aminoglycosides,10.0,30.0,High
Netherlands,2012,Acinetobacter spp.,Aminoglycosides,59.0,1.7,Low
Netherlands,2013,Acinetobacter spp.,Aminoglycosides,67.0,4.5,Low
Netherlands,2014,Acinetobacter spp.,Aminoglycosides,73.0,5.47945,Low
Norway,2012,Acinetobacter spp.,Aminoglycosides,25.0,4.0,Low
Norway,2013,Acinetobacter spp.,Aminoglycosides,36.0,2.8,Low
Norway,2014,Acinetobacter spp.,Aminoglycosides,33.0,3.0303,Low
Poland,2012,Acinetobacter spp.,Aminoglycosides,205.0,63.4,High
Poland,2013,Acinetobacter spp.,Aminoglycosides,191.0,73.8,High
Portugal,2012,Acinetobacter spp.,Aminoglycosides,169.0,65.1,High
Portugal,2013,Acinetobacter spp.,Aminoglycosides,231.0,56.3,High
Portugal,2014,Acinetobacter spp.,Aminoglycosides,265.0,42.26415,High
Romania,2012,Acinetobacter spp.,Aminoglycosides,54.0,57.4,High
Romania,2013,Acinetobacter spp.,Aminoglycosides,137.0,80.3,High
Romania,2014,Acinetobacter spp.,Aminoglycosides,122.0,77.86885,High
Slovakia,2013,Acinetobacter spp.,Aminoglycosides,188.0,50.0,High
Slovakia,2014,Acinetobacter spp.,Aminoglycosides,171.0,41.52047,High
Slovenia,2012,Acinetobacter spp.,Aminoglycosides,25.0,20.0,Medium
Slovenia,2013,Acinetobacter spp.,Aminoglycosides,25.0,20.0,Medium
Slovenia,2014,Acinetobacter spp.,Aminoglycosides,34.0,38.23529,High
Spain,2013,Acinetobacter spp.,Aminoglycosides,77.0,68.4,High
Spain,2014,Acinetobacter spp.,Aminoglycosides,80.0,60.0,High
Sweden,2013,Acinetobacter spp.,Aminoglycosides,74.0,8.1,Low
Sweden,2014,Acinetobacter spp.,Aminoglycosides,36.0,2.77778,Low
United Kingdom,2012,Acinetobacter spp.,Aminoglycosides,108.0,2.8,Low
United Kingdom,2013,Acinetobacter spp.,Aminoglycosides,163.0,2.5,Low
United Kingdom,2014,Acinetobacter spp.,Aminoglycosides,129.0,10.07752,Medium
Austria,2013,Acinetobacter spp.,Carbapenems,51.0,7.8,Low
Austria,2014,Acinetobacter spp.,Carbapenems,78.0,6.410259999999999,Low
Bulgaria,2012,Acinetobacter spp.,Carbapenems,58.0,60.3,High
Bulgaria,2013,Acinetobacter spp.,Carbapenems,89.0,59.6,High
Bulgaria,2014,Acinetobacter spp.,Carbapenems,110.0,59.09091,High
Croatia,2013,Acinetobacter spp.,Carbapenems,114.0,89.5,High
Croatia,2014,Acinetobacter spp.,Carbapenems,166.0,87.3494,High
Cyprus,2012,Acinetobacter spp.,Carbapenems,23.0,56.5,High
Cyprus,2013,Acinetobacter spp.,Carbapenems,33.0,60.6,High
Cyprus,2014,Acinetobacter spp.,Carbapenems,58.0,77.58621,High
Czech Republic,2013,Acinetobacter spp.,Carbapenems,91.0,4.4,Low
Czech Republic,2014,Acinetobacter spp.,Carbapenems,59.0,5.08475,Low
Denmark,2012,Acinetobacter spp.,Carbapenems,64.0,9.4,Low
Denmark,2013,Acinetobacter spp.,Carbapenems,61.0,1.6,Low
Denmark,2014,Acinetobacter spp.,Carbapenems,62.0,1.6129,Low
Finland,2013,Acinetobacter spp.,Carbapenems,35.0,0.0,Low
Finland,2014,Acinetobacter spp.,Carbapenems,32.0,3.125,Low
France,2012,Acinetobacter spp.,Carbapenems,389.0,3.3,Low
France,2013,Acinetobacter spp.,Carbapenems,406.0,5.9,Low
France,2014,Acinetobacter spp.,Carbapenems,401.0,2.49377,Low
Germany,2012,Acinetobacter spp.,Carbapenems,121.0,6.6,Low
Germany,2013,Acinetobacter spp.,Carbapenems,173.0,9.2,Low
Germany,2014,Acinetobacter spp.,Carbapenems,201.0,5.47264,Low
Greece,2012,Acinetobacter spp.,Carbapenems,1254.0,87.8,High
Greece,2013,Acinetobacter spp.,Carbapenems,848.0,90.6,High
Greece,2014,Acinetobacter spp.,Carbapenems,841.0,93.22235,High
Hungary,2012,Acinetobacter spp.,Carbapenems,418.0,48.1,High
Hungary,2013,Acinetobacter spp.,Carbapenems,481.0,50.1,High
Hungary,2014,Acinetobacter spp.,Carbapenems,443.0,44.46953,High
Ireland,2013,Acinetobacter spp.,Carbapenems,85.0,2.4,Low
Ireland,2014,Acinetobacter spp.,Carbapenems,79.0,1.26582,Low
Italy,2013,Acinetobacter spp.,Carbapenems,468.0,79.5,High
Italy,2014,Acinetobacter spp.,Carbapenems,476.0,89.91597,High
Latvia,2014,Acinetobacter spp.,Carbapenems,52.0,78.84615000000001,High
Lithuania,2014,Acinetobacter spp.,Carbapenems,66.0,69.69697000000001,High
Malta,2014,Acinetobacter spp.,Carbapenems,10.0,10.0,Medium
Netherlands,2012,Acinetobacter spp.,Carbapenems,67.0,6.0,Low
Netherlands,2013,Acinetobacter spp.,Carbapenems,65.0,1.5,Low
Netherlands,2014,Acinetobacter spp.,Carbapenems,74.0,0.0,Low
Norway,2012,Acinetobacter spp.,Carbapenems,25.0,0.0,Low
Norway,2013,Acinetobacter spp.,Carbapenems,36.0,0.0,Low
Norway,2014,Acinetobacter spp.,Carbapenems,34.0,2.94118,Low
Poland,2012,Acinetobacter spp.,Carbapenems,209.0,38.3,High
Poland,2013,Acinetobacter spp.,Carbapenems,189.0,49.7,High
Portugal,2012,Acinetobacter spp.,Carbapenems,168.0,79.2,High
Portugal,2013,Acinetobacter spp.,Carbapenems,229.0,69.0,High
Portugal,2014,Acinetobacter spp.,Carbapenems,262.0,53.05344,High
Romania,2012,Acinetobacter spp.,Carbapenems,54.0,81.5,High
Romania,2013,Acinetobacter spp.,Carbapenems,137.0,85.4,High
Romania,2014,Acinetobacter spp.,Carbapenems,123.0,81.30081,High
Slovakia,2013,Acinetobacter spp.,Carbapenems,142.0,45.8,High
Slovakia,2014,Acinetobacter spp.,Carbapenems,161.0,32.91925,High
Slovenia,2012,Acinetobacter spp.,Carbapenems,25.0,24.0,Medium
Slovenia,2013,Acinetobacter spp.,Carbapenems,25.0,24.0,Medium
Slovenia,2014,Acinetobacter spp.,Carbapenems,34.0,26.47059,High
Spain,2013,Acinetobacter spp.,Carbapenems,94.0,75.5,High
Spain,2014,Acinetobacter spp.,Carbapenems,78.0,65.38462,High
Sweden,2013,Acinetobacter spp.,Carbapenems,72.0,5.6,Low
Sweden,2014,Acinetobacter spp.,Carbapenems,52.0,3.84615,Low
United Kingdom,2012,Acinetobacter spp.,Carbapenems,80.0,2.5,Low
United Kingdom,2013,Acinetobacter spp.,Carbapenems,149.0,2.0,Low
United Kingdom,2014,Acinetobacter spp.,Carbapenems,120.0,1.66667,Low
Austria,2013,Acinetobacter spp.,Combined resistance,51.0,5.9,Low
Austria,2014,Acinetobacter spp.,Combined resistance,74.0,2.7027,Low
Bulgaria,2012,Acinetobacter spp.,Combined resistance,58.0,32.8,High
Bulgaria,2013,Acinetobacter spp.,Combined resistance,86.0,39.5,High
Bulgaria,2014,Acinetobacter spp.,Combined resistance,97.0,48.453610000000005,High
Croatia,2013,Acinetobacter spp.,Combined resistance,112.0,86.6,High
Croatia,2014,Acinetobacter spp.,Combined resistance,163.0,85.88957,High
Cyprus,2012,Acinetobacter spp.,Combined resistance,23.0,47.8,High
Cyprus,2013,Acinetobacter spp.,Combined resistance,33.0,60.6,High
Cyprus,2014,Acinetobacter spp.,Combined resistance,57.0,73.68421000000001,High
Czech Republic,2013,Acinetobacter spp.,Combined resistance,91.0,4.4,Low
Czech Republic,2014,Acinetobacter spp.,Combined resistance,59.0,5.08475,Low
Denmark,2012,Acinetobacter spp.,Combined resistance,58.0,8.6,Low
Denmark,2013,Acinetobacter spp.,Combined resistance,57.0,1.8,Low
Denmark,2014,Acinetobacter spp.,Combined resistance,49.0,0.0,Low
Finland,2013,Acinetobacter spp.,Combined resistance,34.0,0.0,Low
Finland,2014,Acinetobacter spp.,Combined resistance,30.0,0.0,Low
France,2012,Acinetobacter spp.,Combined resistance,272.0,4.0,Low
France,2013,Acinetobacter spp.,Combined resistance,389.0,4.1,Low
France,2014,Acinetobacter spp.,Combined resistance,391.0,1.53453,Low
Germany,2012,Acinetobacter spp.,Combined resistance,119.0,4.2,Low
Germany,2013,Acinetobacter spp.,Combined resistance,172.0,5.2,Low
Germany,2014,Acinetobacter spp.,Combined resistance,188.0,2.12766,Low
Greece,2012,Acinetobacter spp.,Combined resistance,1203.0,74.5,High
Greece,2013,Acinetobacter spp.,Combined resistance,810.0,85.2,High
Greece,2014,Acinetobacter spp.,Combined resistance,794.0,86.90176,High
Hungary,2012,Acinetobacter spp.,Combined resistance,394.0,41.6,High
Hungary,2013,Acinetobacter spp.,Combined resistance,466.0,48.7,High
Hungary,2014,Acinetobacter spp.,Combined resistance,438.0,42.00913,High
Ireland,2013,Acinetobacter spp.,Combined resistance,84.0,0.0,Low
Ireland,2014,Acinetobacter spp.,Combined resistance,79.0,1.26582,Low
Italy,2013,Acinetobacter spp.,Combined resistance,453.0,79.0,High
Italy,2014,Acinetobacter spp.,Combined resistance,439.0,86.78815,High
Latvia,2014,Acinetobacter spp.,Combined resistance,52.0,61.53845999999999,High
Lithuania,2014,Acinetobacter spp.,Combined resistance,66.0,66.66667,High
Malta,2014,Acinetobacter spp.,Combined resistance,10.0,10.0,Medium
Netherlands,2012,Acinetobacter spp.,Combined resistance,10.0,0.0,Low
Netherlands,2013,Acinetobacter spp.,Combined resistance,64.0,1.6,Low
Netherlands,2014,Acinetobacter spp.,Combined resistance,69.0,0.0,Low
Norway,2012,Acinetobacter spp.,Combined resistance,25.0,0.0,Low
Norway,2013,Acinetobacter spp.,Combined resistance,36.0,0.0,Low
Norway,2014,Acinetobacter spp.,Combined resistance,33.0,3.0303,Low
Poland,2012,Acinetobacter spp.,Combined resistance,197.0,35.0,High
Poland,2013,Acinetobacter spp.,Combined resistance,184.0,46.7,High
Portugal,2012,Acinetobacter spp.,Combined resistance,168.0,64.3,High
Portugal,2013,Acinetobacter spp.,Combined resistance,222.0,56.3,High
Portugal,2014,Acinetobacter spp.,Combined resistance,260.0,39.23077,High
Romania,2012,Acinetobacter spp.,Combined resistance,54.0,50.0,High
Romania,2013,Acinetobacter spp.,Combined resistance,137.0,74.5,High
Romania,2014,Acinetobacter spp.,Combined resistance,121.0,77.68595,High
Slovakia,2013,Acinetobacter spp.,Combined resistance,142.0,31.7,High
Slovakia,2014,Acinetobacter spp.,Combined resistance,161.0,24.84472,Medium
Slovenia,2012,Acinetobacter spp.,Combined resistance,25.0,12.0,Medium
Slovenia,2013,Acinetobacter spp.,Combined resistance,25.0,20.0,Medium
Slovenia,2014,Acinetobacter spp.,Combined resistance,34.0,26.47059,High
Spain,2013,Acinetobacter spp.,Combined resistance,70.0,70.0,High
Spain,2014,Acinetobacter spp.,Combined resistance,78.0,56.41026,High
Sweden,2013,Acinetobacter spp.,Combined resistance,71.0,5.6,Low
Sweden,2014,Acinetobacter spp.,Combined resistance,36.0,2.77778,Low
United Kingdom,2012,Acinetobacter spp.,Combined resistance,79.0,1.3,Low
United Kingdom,2013,Acinetobacter spp.,Combined resistance,149.0,1.3,Low
United Kingdom,2014,Acinetobacter spp.,Combined resistance,119.0,1.68067,Low
Austria,2013,Acinetobacter spp.,Fluoroquinolones,51.0,21.6,Medium
Austria,2014,Acinetobacter spp.,Fluoroquinolones,75.0,5.33333,Low
Bulgaria,2012,Acinetobacter spp.,Fluoroquinolones,65.0,69.2,High
Bulgaria,2013,Acinetobacter spp.,Fluoroquinolones,94.0,70.2,High
