country,year,bacterium,antibiotic,n_isolates,pct_resistant
Austria,2012,Acinetobacter spp.,Aminoglycosides,,
Austria,2013,Acinetobacter spp.,Aminoglycosides,51.0,9.8
Austria,2014,Acinetobacter spp.,Aminoglycosides,79.0,8.860759999999999
Belgium,2012,Acinetobacter spp.,Aminoglycosides,,
Belgium,2013,Acinetobacter spp.,Aminoglycosides,3.0,
Belgium,2014,Acinetobacter spp.,Aminoglycosides,4.0,
Bulgaria,2012,Acinetobacter spp.,Aminoglycosides,65.0,58.5
Bulgaria,2013,Acinetobacter spp.,Aminoglycosides,91.0,58.2
Bulgaria,2014,Acinetobacter spp.,Aminoglycosides,99.0,63.63636
Croatia,2012,Acinetobacter spp.,Aminoglycosides,,
Croatia,2013,Acinetobacter spp.,Aminoglycosides,114.0,92.1
Croatia,2014,Acinetobacter spp.,Aminoglycosides,167.0,88.02395
Cyprus,2012,Acinetobacter spp.,Aminoglycosides,23.0,52.2
Cyprus,2013,Acinetobacter spp.,Aminoglycosides,33.0,60.6
Cyprus,2014,Acinetobacter spp.,Aminoglycosides,57.0,73.68421000000001
Czech Republic,2012,Acinetobacter spp.,Aminoglycosides,,
Czech Republic,2013,Acinetobacter spp.,Aminoglycosides,91.0,16.5
Czech Republic,2014,Acinetobacter spp.,Aminoglycosides,59.0,10.16949
Denmark,2012,Acinetobacter spp.,Aminoglycosides,77.0,10.4
Denmark,2013,Acinetobacter spp.,Aminoglycosides,75.0,1.3
Denmark,2014,Acinetobacter spp.,Aminoglycosides,60.0,1.6666699999999999
Finland,2012,Acinetobacter spp.,Aminoglycosides,,
Finland,2013,Acinetobacter spp.,Aminoglycosides,36.0,0.0
Finland,2014,Acinetobacter spp.,Aminoglycosides,31.0,3.2258099999999996
France,2012,Acinetobacter spp.,Aminoglycosides,278.0,12.9
France,2013,Acinetobacter spp.,Aminoglycosides,409.0,11.5
France,2014,Acinetobacter spp.,Aminoglycosides,409.0,8.55746
Germany,2012,Acinetobacter spp.,Aminoglycosides,119.0,5.9
Germany,2013,Acinetobacter spp.,Aminoglycosides,173.0,6.4
Germany,2014,Acinetobacter spp.,Aminoglycosides,197.0,4.06091
Greece,2012,Acinetobacter spp.,Aminoglycosides,1234.0,78.1
Greece,2013,Acinetobacter spp.,Aminoglycosides,814.0,88.5
Greece,2014,Acinetobacter spp.,Aminoglycosides,801.0,88.6392
Hungary,2012,Acinetobacter spp.,Aminoglycosides,407.0,68.8
Hungary,2013,Acinetobacter spp.,Aminoglycosides,475.0,69.5
Hungary,2014,Acinetobacter spp.,Aminoglycosides,444.0,63.51351
Iceland,2012,Acinetobacter spp.,Aminoglycosides,2.0,
Iceland,2013,Acinetobacter spp.,Aminoglycosides,0.0,
Iceland,2014,Acinetobacter spp.,Aminoglycosides,3.0,
Ireland,2012,Acinetobacter spp.,Aminoglycosides,,
Ireland,2013,Acinetobacter spp.,Aminoglycosides,88.0,1.1
Ireland,2014,Acinetobacter spp.,Aminoglycosides,89.0,2.24719
Italy,2012,Acinetobacter spp.,Aminoglycosides,,
Italy,2013,Acinetobacter spp.,Aminoglycosides,468.0,82.9
Italy,2014,Acinetobacter spp.,Aminoglycosides,449.0,89.08686
Latvia,2012,Acinetobacter spp.,Aminoglycosides,,
Latvia,2013,Acinetobacter spp.,Aminoglycosides,,
Latvia,2014,Acinetobacter spp.,Aminoglycosides,52.0,75.0
Lithuania,2012,Acinetobacter spp.,Aminoglycosides,,
Lithuania,2013,Acinetobacter spp.,Aminoglycosides,,
Lithuania,2014,Acinetobacter spp.,Aminoglycosides,66.0,86.36364
Luxembourg,2012,Acinetobacter spp.,Aminoglycosides,6.0,
Luxembourg,2013,Acinetobacter spp.,Aminoglycosides,3.0,
Luxembourg,2014,Acinetobacter spp.,Aminoglycosides,6.0,
